Item Title;Publication Title;Book Series Title;Journal Volume;Journal Issue;Item DOI;Authors;Publication Year;URL;Content Type
Impact of Industry 4.0 in service oriented firm;Advances in Manufacturing;;5;4;10.1007/s40436-017-0196-3;Wladimir Bodrow;2017;http://link.springer.com/article/10.1007/s40436-017-0196-3;Article
Impact of operational innovations on customer loyalty in the healthcare sector;Service Business;;;;10.1007/s11628-017-0355-4;Kwan Soo HongDonHee Lee;2017;http://link.springer.com/article/10.1007/s11628-017-0355-4;Article
Implementing self adaptiveness in whale optimization for cluster head section in Internet of Things;Cluster Computing;;;;10.1007/s10586-017-1628-3;M. Praveen Kumar ReddyM. Rajasekhara Babu;2018;http://link.springer.com/article/10.1007/s10586-017-1628-3;Article
Improving assurance of a sustainable route-split MANET routing by adapting node battery exhaustion;Telecommunication Systems;;54;1;10.1007/s11235-013-9714-1;Mario TakeuchiEitaro KohnoTomoyuki OhtaYoshiaki Kakuda;2013;http://link.springer.com/article/10.1007/s11235-013-9714-1;Article
Improving medication adherence in home care using a bidirectional medication assistance system;Networking Science;;3;01/abr;10.1007/s13119-013-0020-8;Shiori SuzukiJin MitsugiJun Murai;2013;http://link.springer.com/article/10.1007/s13119-013-0020-8;Article
Improving the information society skills: Is knowledge accessible for all?;Universal Access in the Information Society;;;;10.1007/s10209-017-0548-6;David FonsecaMiguel Ángel CondeFrancisco J. García-Peñalvo;2017;http://link.springer.com/article/10.1007/s10209-017-0548-6;Article
In Search of Information Systems (Grand) Challenges;Business & Information Systems Engineering;;57;6;10.1007/s12599-015-0394-0;Prof. Dr. Dr. h.c. Dr. h.c. Jörg BeckerProf. Dr. Jan vom BrockeDr. Marcel HeddierProf. Dr. Stefan Seidel;2015;http://link.springer.com/article/10.1007/s12599-015-0394-0;Article
Industrial policy in France: in search of lost time;Economia e Politica Industriale;;43;3;10.1007/s40812-016-0036-7;Philippe Mustar;2016;http://link.springer.com/article/10.1007/s40812-016-0036-7;Article
Industry 4.0 and environmental accounting: a new revolution?;Asian Journal of Sustainability and Social Responsibility;;1;1;10.1186/s41180-016-0007-y;Roger BurrittKatherine Christ;2016;http://link.springer.com/article/10.1186/s41180-016-0007-y;Article
Industry 4.0 and the circular economy: a proposed research agenda and original roadmap for sustainable operations;Annals of Operations Research;;;;10.1007/s10479-018-2772-8;Ana Beatriz Lopes de Sousa JabbourCharbel Jose Chiappetta JabbourMoacir Godinho FilhoDavid Roubaud;2018;http://link.springer.com/article/10.1007/s10479-018-2772-8;Article
Information and communication technology in green logistics: status quo and research gaps;Management Review Quarterly;;67;2;10.1007/s11301-017-0124-4;Volker FreheFrank Teuteberg;2017;http://link.springer.com/article/10.1007/s11301-017-0124-4;Article
Information diffusion in distributed OSN: The impact of trusted relationships;Peer-to-Peer Networking and Applications;;9;6;10.1007/s12083-015-0395-2;Valerio ArnaboldiMassimiliano La GalaAndrea PassarellaMarco Conti;2016;http://link.springer.com/article/10.1007/s12083-015-0395-2;Article
Information security model of block chain based on intrusion sensing in the IoT environment;Cluster Computing;;;;10.1007/s10586-018-2516-1;Daming LiZhiming CaiLianbing DengXiang YaoHarry Haoxiang Wang;2018;http://link.springer.com/article/10.1007/s10586-018-2516-1;Article
Information system selection for a supply chain based on current trends: the BRIGS approach;Neural Computing and Applications;;;;10.1007/s00521-016-2776-8;Avinash SamvediVipul JainF. T. S. ChanS. H. Chung;2016;http://link.springer.com/article/10.1007/s00521-016-2776-8;Article
Information systems for enhancing social experience in a conference context: A sensor based approach;Programming and Computer Software;;38;6;10.1134/S0361768812060035;Michael A. H. FriedAnna FenselFederico M. FaccaDieter Fensel;2012;http://link.springer.com/article/10.1134/S0361768812060035;Article
Information systems in seaports: a categorization and overview;Information Technology and Management;;18;3;10.1007/s10799-016-0269-1;Leonard HeiligStefan Voß;2017;http://link.springer.com/article/10.1007/s10799-016-0269-1;Article
Infrastructure for Intelligent Automation Services in the Smart Grid;Wireless Personal Communications;;76;2;10.1007/s11277-014-1682-6;Rune Hylsberg JacobsenSøren Aagaard Mikkelsen;2014;http://link.springer.com/article/10.1007/s11277-014-1682-6;Article
Innovation: from small “i” to large “I”;International Journal of Quality Innovation;;4;1;10.1186/s40887-018-0022-4;Sang M. Lee;2018;http://link.springer.com/article/10.1186/s40887-018-0022-4;Article
Innovations in e-health;Quality of Life Research;;23;1;10.1007/s11136-013-0458-x;Paul WicksJon StamfordMartha A. GrootenhuisLotte HavermanSara Ahmed;2014;http://link.springer.com/article/10.1007/s11136-013-0458-x;Article
Institutional Robotics;International Journal of Social Robotics;;7;5;10.1007/s12369-015-0300-4;Porfírio SilvaJosé N. PereiraPedro U. Lima;2015;http://link.springer.com/article/10.1007/s12369-015-0300-4;Article
Integrated Multi-service Handoff Mechanism with QoS-Support Strategy in Mobile Cloud Computing;Wireless Personal Communications;;87;2;10.1007/s11277-016-3210-3;Qi QiJianxin LiaoJingyu WangJing WangQi LiYufei Cao;2016;http://link.springer.com/article/10.1007/s11277-016-3210-3;Article
